"('P0', 'id')","('P1_a ', 'Idade')","('P1_b ', 'Genero')","('P1_c ', 'Cor/raca/etnia')","('P1_d ', 'PCD')","('P1_e ', 'experiencia_profissional_prejudicada')","('P1_l ', 'Nivel de Ensino')","('P1_m ', 'Área de Formação')","('P2_a ', 'Qual sua situação atual de trabalho?')","('P2_g ', 'Nivel')","('P2_h ', 'Faixa salarial')","('P2_m ', 'Você participou de entrevistas de emprego nos últimos 6 meses?')","('P2_o ', 'Quais os principais critérios que você leva em consideração no momento de decidir onde trabalhar?')","('P2_p ', 'Atualmente qual a sua forma de trabalho?')"
zzqzz3l9ily8nuo2m7wyzzqzz3w48o96,39.0,Masculino,Parda,Não,Não acredito que minha experiência profissional seja afetada devido a esses fatores,Pós-graduação,Computação / Engenharia de Software / Sistemas de Informação/ TI,Servidor Público,Júnior,de R$ 8.001/mês a R$ 12.000/mês,Não participei de entrevistas de emprego/processos seletivos nos últimos 6 meses,Benefícios,Modelo 100% presencial
zzls2oftfn9law393oezzls2ofhvfpzd,32.0,Masculino,Parda,Não,"Sim, acredito que a minha a experiência profissional seja afetada devido a minha Cor/Raça/Etnia",Graduação/Bacharelado,Outras Engenharias,Empregado (CLT),,de R$ 4.001/mês a R$ 6.000/mês,"Sim, fiz entrevistas mas não fui aprovado","Remuneração/Salário, Plano de carreira e oportunidades de crescimento profissional, Reputação que a empresa tem no mercado",Modelo 100% presencial
zzdwqzfqqp1ypc7ps6m0hzzdwqz292yi,53.0,Masculino,Branca,Não,,Pós-graduação,Computação / Engenharia de Software / Sistemas de Informação/ TI,Empregado (CLT),Pleno,de R$ 12.001/mês a R$ 16.000/mês,Não participei de entrevistas de emprego/processos seletivos nos últimos 6 meses,"Remuneração/Salário, Flexibilidade de trabalho remoto",Modelo híbrido com dias fixos de trabalho presencial
zzbqh3uy7yk7k9qmkzzbqtb4s9faqspl,27.0,Masculino,Branca,Não,,Doutorado ou Phd,Estatística/ Matemática / Matemática Computacional/ Ciências Atuariais,Empregado (CLT),Sênior,de R$ 12.001/mês a R$ 16.000/mês,"Sim, fui aprovado e mudei de emprego","Remuneração/Salário, Flexibilidade de trabalho remoto, Oportunidade de aprendizado e trabalhar com referências na área",Modelo híbrido flexível (o funcionário tem liberdade para escolher quando estar no escritório presencialmente)
zzaf1m95yan929rb94wzzaf1mekhvhpg,46.0,Feminino,Branca,Não,Não acredito que minha experiência profissional seja afetada devido a esses fatores,Pós-graduação,Computação / Engenharia de Software / Sistemas de Informação/ TI,Servidor Público,Pleno,de R$ 6.001/mês a R$ 8.000/mês,Não participei de entrevistas de emprego/processos seletivos nos últimos 6 meses,"Remuneração/Salário, Oportunidade de aprendizado e trabalhar com referências na área, Plano de carreira e oportunidades de crescimento profissional",Modelo 100% presencial
zz0nlhbd8oxyiyxzz0nlh7g4xkiaza5v,32.0,Feminino,Parda,Não,Não acredito que minha experiência profissional seja afetada devido a esses fatores,Pós-graduação,Ciências Biológicas/ Farmácia/ Medicina/ Área da Saúde,Servidor Público,Pleno,de R$ 2.001/mês a R$ 3.000/mês,"Sim, fiz entrevistas mas não fui aprovado","Remuneração/Salário, Benefícios, Plano de carreira e oportunidades de crescimento profissional",Modelo 100% presencial
zytlxsdgalh22cgrijvzytlxa49i8yzx,21.0,Masculino,Parda,Não,Não acredito que minha experiência profissional seja afetada devido a esses fatores,Estudante de Graduação,Estatística/ Matemática / Matemática Computacional/ Ciências Atuariais,Empregado (CLT),Júnior,de R$ 4.001/mês a R$ 6.000/mês,"Sim, fui aprovado e mudei de emprego","Oportunidade de aprendizado e trabalhar com referências na área, Plano de carreira e oportunidades de crescimento profissional, Qualidade dos gestores e líderes",Modelo híbrido com dias fixos de trabalho presencial
zyc0twzno2sm5or5ovoxzyc0twz0300d,31.0,Feminino,Branca,Não,Não acredito que minha experiência profissional seja afetada devido a esses fatores,Graduação/Bacharelado,Ciências Sociais,Empregado (CLT),Júnior,de R$ 2.001/mês a R$ 3.000/mês,Não participei de entrevistas de emprego/processos seletivos nos últimos 6 meses,"Remuneração/Salário, Propósito do trabalho e da empresa, Flexibilidade de trabalho remoto",Modelo 100% presencial
zy4o5dk6iuxpdwgzy4o58xvd6ykwohrj,33.0,Masculino,Branca,Não,,Pós-graduação,Economia/ Administração / Contabilidade / Finanças/ Negócios,Empregado (CLT),Sênior,de R$ 6.001/mês a R$ 8.000/mês,"Sim, fui aprovado e mudei de emprego","Plano de carreira e oportunidades de crescimento profissional, Remuneração/Salário, Flexibilidade de trabalho remoto",Modelo 100% remoto
zxc3d314cn1c2ovmzxc34ha7nkw1na3j,,Feminino,Parda,Não,Não acredito que minha experiência profissional seja afetada devido a esses fatores,Pós-graduação,Estatística/ Matemática / Matemática Computacional/ Ciências Atuariais,Empregado (CLT),Pleno,de R$ 8.001/mês a R$ 12.000/mês,Não participei de entrevistas de emprego/processos seletivos nos últimos 6 meses,Flexibilidade de trabalho remoto,Modelo híbrido com dias fixos de trabalho presencial
